Date,Open,High,Low,Close,Volume,wind_code
2017/12/21,2871.6834,2906.8072,2862.2294,2895.3659,2578156100,000016.SH
2017/12/20,2874.0545,2887.2322,2861.5375,2879.6434,2845812300,000016.SH
2017/12/19,2829.549,2873.6011,2827.4384,2873.0302,2378916800,000016.SH
2017/12/18,2821.4191,2842.8138,2815.8199,2829.0585,2070257300,000016.SH
2017/12/15,2844.1017,2846.5165,2817.3175,2820.1666,2666741800,000016.SH
2017/12/14,2874.9463,2878.3211,2841.9207,2850.0458,2276671900,000016.SH
2017/12/13,2850.4681,2879.4054,2834.9278,2872.94,2238164900,000016.SH
2017/12/12,2897.6645,2900.2742,2849.3918,2850.1969,2608653100,000016.SH
2017/12/11,2862.6063,2900.1668,2857.9828,2899.1036,2868775100,000016.SH
2017/12/8,2843.2021,2872.8208,2832.7981,2865.3407,2536492700,000016.SH
2017/12/7,2868.2037,2875.7407,2828.2335,2848.888,2794052700,000016.SH
2017/12/6,2897.2254,2897.2254,2845.1345,2875.7315,3169388300,000016.SH
2017/12/5,2852.8197,2922.3279,2851.3166,2910.4755,5959997200,000016.SH
2017/12/4,2829.8111,2868.2937,2823.9355,2861.3609,2691190100,000016.SH
2017/12/1,2861.8966,2867.1148,2834.262,2842.1841,3078984400,000016.SH
2017/11/30,2878.5252,2895.5282,2850.3123,2863.4469,3580217800,000016.SH
2017/11/29,2905.3313,2914.0667,2855.8527,2893.2825,3600523700,000016.SH
2017/11/28,2900.0777,2908.3648,2872.534,2897.107,3069371000,000016.SH
2017/11/27,2928.3575,2928.8632,2885.6037,2917.306,5018719700,000016.SH
2017/11/24,2934.4465,2949.7937,2907.1,2936.8339,4542629600,000016.SH
2017/11/23,3003.7768,3018.2596,2919.6522,2940.7256,6699098600,000016.SH
2017/11/22,3001.9506,3038.2756,2989.8171,3012.3552,7455572900,000016.SH
2017/11/21,2928.9235,3012.8935,2927.61,2987.1731,6364868200,000016.SH
2017/11/20,2916.7381,2942.1402,2897.2049,2941.1532,4384076500,000016.SH
2017/11/17,2868.5192,2940.7738,2867.5864,2938.7983,6847202300,000016.SH
2017/11/16,2840.3621,2880.9834,2840.3621,2879.3977,3205182400,000016.SH
2017/11/15,2848.7673,2864.3659,2839.461,2850.0504,3297420900,000016.SH
2017/11/14,2876.748,2882.7922,2853.7768,2861.4234,3603716000,000016.SH
2017/11/13,2865.7827,2885.7022,2865.721,2873.5145,4845904900,000016.SH
2017/11/10,2828.1222,2867.0623,2827.7397,2862.3432,4419833800,000016.SH
2017/11/9,2814.5684,2834.5103,2809.9574,2832.9612,3270423200,000016.SH
2017/11/8,2818.6698,2846.2997,2811.1058,2819.9571,4476853000,000016.SH
2017/11/7,2794.1929,2832.1382,2792.7012,2821.9558,4936828000,000016.SH
2017/11/6,2798.4715,2798.4715,2776.9492,2792.2237,3326891000,000016.SH
2017/11/3,2789.5399,2803.3141,2770.1248,2800.4688,3890616000,000016.SH
2017/11/2,2788.1144,2796.4305,2771.1529,2794.1017,3752686800,000016.SH
2017/11/1,2795.1916,2816.2952,2782.0608,2789.4022,4620413200,000016.SH
2017/10/31,2795.5379,2797.7884,2785.1578,2793.7119,3237037100,000016.SH
2017/10/30,2812.2381,2822.5891,2780.0454,2809.1069,4800487900,000016.SH
2017/10/27,2770.5287,2815.419,2769.4266,2814.272,4030195600,000016.SH
2017/10/26,2760.0647,2788.6564,2753.7271,2771.0435,4147318800,000016.SH
2017/10/25,2753.9297,2756.7629,2746.2667,2752.1394,1964672200,000016.SH
2017/10/24,2732.9435,2762.594,2730.8414,2753.6492,2487082700,000016.SH
2017/10/23,2744.325,2746.9989,2732.6321,2734.3683,1954603500,000016.SH
2017/10/20,2744.4945,2746.2294,2733.7199,2737.6411,1609842100,000016.SH
2017/10/19,2750.6359,2756.0354,2743.1343,2756.0354,2861786900,000016.SH
2017/10/18,2725.6666,2753.9229,2723.7626,2753.0105,2826082100,000016.SH
2017/10/17,2725.1997,2734.3072,2716.4042,2723.5345,1797980900,000016.SH
2017/10/16,2719.3095,2741.0971,2715.0511,2726.6423,2557589800,000016.SH
2017/10/13,2716.0041,2722.2311,2711.9544,2713.3767,1927340900,000016.SH
2017/10/12,2706.4203,2724.8346,2702.3134,2718.3508,2392287700,000016.SH
2017/10/11,2694.4982,2717.3281,2692.7692,2707.5221,2459848300,000016.SH
2017/10/10,2693.251,2711.3065,2671.9426,2695.5374,2997472700,000016.SH
2017/10/9,2736.8345,2743.3643,2688.5382,2692.0769,4148929200,000016.SH
2017/9/29,2661.5229,2682.1695,2660.8582,2672.3272,2020466800,000016.SH
2017/9/28,2661.5413,2663.6951,2653.4645,2661.2832,2166188100,000016.SH
2017/9/27,2674.4102,2677.7437,2659.5963,2661.5532,2005863700,000016.SH
2017/9/26,2673.5445,2681.2329,2673.3966,2678.9912,1928317700,000016.SH
2017/9/25,2672.9453,2682.7495,2667.3055,2680.6516,3198142000,000016.SH
2017/9/22,2666.6655,2686.4094,2662.8382,2679.0529,2635975000,000016.SH
2017/9/21,2664.0525,2690.3598,2660.5309,2675.5508,3175345200,000016.SH
2017/9/20,2667.2401,2675.2112,2661.8681,2662.6266,2536794000,000016.SH
2017/9/19,2680.7159,2687.1837,2661.6095,2670.6914,3008735900,000016.SH
2017/9/18,2670.1977,2694.0589,2670.1977,2674.1759,3313463900,000016.SH
2017/9/15,2669.653,2677.5329,2659.7328,2668.3759,3464898000,000016.SH
2017/9/14,2688.3998,2694.775,2666.8169,2672.8364,2858673700,000016.SH
2017/9/13,2690.5596,2694.4138,2676.2487,2687.6707,2119772000,000016.SH
2017/9/12,2682.2494,2695.525,2672.285,2692.5401,3078832300,000016.SH
2017/9/11,2691.3364,2708.4223,2673.6232,2674.7502,2908410100,000016.SH
